id,X,Y,Z,formation
k730,245649,6710883,49.61,kallio
k731,245671,6710883,48.021,kallio
k732,245693,6710883,48.057,kallio
k733,245715,6710883,52.378,kallio
k734,245737,6710883,49.416,kallio
k735,245759,6710883,46.703,kallio
k736,245781,6710883,42.899,kallio
k737,245803,6710883,41.322,kallio
k738,245825,6710883,39.147,kallio
k739,245561,6710861,48.683,kallio
k740,245583,6710861,50.436,kallio
k741,245605,6710861,52.296,kallio
k742,245627,6710861,52.992,kallio
k743,245649,6710861,52.15,kallio
k744,245671,6710861,48.178,kallio
k745,245693,6710861,47.816,kallio
k746,245715,6710861,50.884,kallio
k747,245737,6710861,49.181,kallio
k748,245759,6710861,46.642,kallio
k749,245781,6710861,42.34,kallio
k750,245803,6710861,40.677,kallio
k751,245825,6710861,39.246,kallio
k752,245561,6710839,49.26,kallio
k753,245583,6710839,51.9,kallio
k754,245605,6710839,52.717,kallio
k755,245627,6710839,53.631,kallio
k756,245649,6710839,51.947,kallio
k757,245671,6710839,49.559,kallio
k758,245693,6710839,47.618,kallio
k759,245715,6710839,48.599,kallio
k760,245737,6710839,47.815,kallio
k761,245759,6710839,45.922,kallio
k762,245781,6710839,41.82,kallio
k763,245803,6710839,40.109,kallio
k764,245825,6710839,39.13,kallio
k765,245847,6710839,38.621,kallio
k766,245561,6710817,50.243,kallio
k767,245583,6710817,53.436,kallio
k768,245605,6710817,53.087,kallio
k769,245627,6710817,54.187,kallio
k770,245649,6710817,52.768,kallio
k771,245671,6710817,49.88,kallio
k772,245693,6710817,47.559,kallio
k773,245715,6710817,47.156,kallio
k774,245737,6710817,46.524,kallio
